path ID,path,end_message,time,sqrt(trajectory MSE),distance_to_target,mean_distance_in_trajectory,k_value
0,"[[  0.           0.        ]
 [  5.34455689  -1.27365281]
 [ 12.44678369  -2.90045741]
 [ 19.44827348  -3.17255674]
 [ 25.92974648  -3.19225244]
 [ 32.30937008  -3.87158469]
 [ 38.87235245  -4.95255487]
 [ 45.49497535  -5.97045301]
 [ 52.00954677  -6.88346166]
 [ 58.53739547  -7.76532832]
 [ 65.4248197   -8.67337791]
 [ 72.85053754  -9.53975217]
 [ 80.18996824 -10.07825734]
 [ 85.59111638 -10.08999444]]",End,4.01275754,2.846775643,0.839921852,0.791642863,0.108072812
1,"[[  0.           0.        ]
 [  7.07501694  -1.58013924]
 [ 15.61416001  -6.95545035]
 [ 26.68853867 -14.30050467]
 [ 39.53552215 -21.39956163]
 [ 54.37604828 -28.65039157]
 [ 68.77145787 -35.56821892]
 [ 83.26746465 -40.5261004 ]
 [ 96.36311428 -39.53715852]
 [ 98.04349983 -37.85339042]]",End,0.727218866,4.014977334,0.074032366,0.934468467,0.385332614
2,"[[  0.           0.        ]
 [  5.69775965  -1.35650813]
 [ 13.62169847  -6.57326227]
 [ 24.58851038 -13.92264098]
 [ 37.66206825 -21.17247703]
 [ 52.08096554 -28.67023295]
 [ 66.31738651 -35.73701476]
 [ 81.42045499 -39.42958271]
 [ 91.27292194 -37.61696339]]",End,0.580967188,1.913180686,0.764679759,1.554225629,0.403759218
3,"[[ 0.          0.        ]
 [ 7.60572065 -1.11578414]
 [14.4350564  -1.9121298 ]
 [20.10795484 -1.36950918]
 [26.01896799 -1.79672141]
 [32.44229815 -3.0112738 ]
 [39.17714246 -4.16623462]
 [45.81509964 -5.00774612]
 [51.97985696 -5.67790346]
 [57.55169834 -6.24468127]
 [62.64625693 -6.73562343]
 [67.54490657 -7.19360775]
 [72.62863951 -7.68170379]
 [78.28414668 -8.24237085]
 [84.63934108 -8.81692122]
 [91.05615301 -9.17566093]
 [94.83943307 -9.15678468]]",End,1.605241537,5.160975701,1.148985601,0.437338914,0.084435333
4,"[[  0.           0.        ]
 [  4.57171221  -1.03606396]
 [ 11.72583629  -5.89413423]
 [ 22.14177644 -13.44629521]
 [ 34.85343301 -21.44897634]
 [ 48.7445454  -29.23963662]
 [ 64.20647201 -32.61462851]
 [ 69.79178292 -31.61351972]]",End,1.421637058,2.131878996,0.307913944,3.114095593,0.448557186
5,"[[  0.           0.        ]
 [  4.50845826  -1.0320688 ]
 [ 11.68144955  -5.871564  ]
 [ 22.25075109 -13.27749742]
 [ 35.1333219  -21.00937178]
 [ 48.73367656 -28.91038759]
 [ 64.1986813  -33.91484385]
 [ 74.50773286 -33.1137076 ]]",End,1.29617238,1.363052734,0.609506002,1.282921764,0.436252726
6,"[[  0.           0.        ]
 [  5.1928885   -2.77721273]
 [ 12.70895737  -8.72634825]
 [ 23.16025802 -16.98164384]
 [ 35.54184395 -26.16988566]
 [ 48.59600947 -35.9047845 ]
 [ 64.12175083 -43.12390618]
 [ 75.58792719 -43.9298346 ]]",End,0.532880068,1.000536341,0.278169609,1.18862256,0.577495198
7,"[[  0.           0.        ]
 [  4.73645589  -1.58316061]
 [ 12.03256881  -7.00781701]
 [ 22.25967834 -15.10794135]
 [ 34.46948621 -24.08805754]
 [ 47.78058395 -33.36918602]
 [ 63.70783859 -39.06170363]
 [ 71.28862292 -38.99897229]]",End,0.556159735,1.201012362,0.232744009,0.966277931,0.543792637
8,"[[  0.           0.        ]
 [  4.59120085  -1.09182726]
 [ 11.87500907  -6.06138561]
 [ 22.57531844 -13.4817843 ]
 [ 35.58853353 -21.11963882]
 [ 49.20387135 -29.08468919]
 [ 64.12535064 -35.47608981]
 [ 77.83383213 -35.87255629]
 [ 79.70094315 -34.91260454]]",End,0.546057463,1.832559193,0.19157692,1.477410011,0.435641364
9,"[[ 0.00000000e+00 -1.77635684e-15]
 [ 5.74603129e+00 -1.54829630e+00]
 [ 1.36049727e+01 -4.73860320e+00]
 [ 2.30307444e+01 -7.50749112e+00]
 [ 3.24554535e+01 -8.72789419e+00]
 [ 4.10425383e+01 -9.23816216e+00]
 [ 4.89898716e+01 -1.00664768e+01]
 [ 5.69494536e+01 -1.13658487e+01]
 [ 6.53671204e+01 -1.28448057e+01]
 [ 7.39023498e+01 -1.40904398e+01]
 [ 8.14785448e+01 -1.46712838e+01]
 [ 8.69744131e+01 -1.47690812e+01]]",End,0.801210642,13.50374957,0.129687308,3.853452804,0.171300593
