id_camino,id_in_seq,current_state,goal_state,out_action,timesteps
0,0,"[0, 0, 1, 0, 0, 0]","[1848.0120943540667, -352.38269073325876, 2.4343205319680683, 0.08684114239157417, -0.1545246750145606, 7.161828906098656e-05]",5,315.34558124556406
0,1,"[374.6557815617177, -36.35881681760387, 1.2092236647693262, 0.18063266270410594, 0.07538903595147627, 0.0010166627399165054]","[1848.0120943540667, -352.38269073325876, 2.4343205319680683, 0.08684114239157417, -0.1545246750145606, 7.161828906098656e-05]",1,315.34558124556406
0,2,"[1095.9133891121612, -208.31370508010988, 2.31268569790563, 0.08815484890884191, -0.18449330077251455, -0.0008655255703896691]","[1848.0120943540667, -352.38269073325876, 2.4343205319680683, 0.08684114239157417, -0.1545246750145606, 7.161828906098656e-05]",1,315.34558124556406
1,0,"[0, 0, 1, 0, 0, 0]","[2038.2603000161923, -376.1068761324533, 2.4265817659008646, 0.08697091027246782, -0.15009191809721015, 5.060108812941192e-06]",2,315.34558124556406
1,1,"[557.2873618367145, -88.35404417578944, 1.9044056673880185, 0.11766700250598375, -0.007043138075394258, 0.0015971603926076378]","[2038.2603000161923, -376.1068761324533, 2.4265817659008646, 0.08697091027246782, -0.15009191809721015, 5.060108812941192e-06]",1,315.34558124556406
1,2,"[1288.3641265195806, -235.29711838835448, 2.3550330724368562, 0.08783602179902329, -0.1560849808731749, -0.0005599689565605169]","[2038.2603000161923, -376.1068761324533, 2.4265817659008646, 0.08697091027246782, -0.15009191809721015, 5.060108812941192e-06]",1,315.34558124556406
2,0,"[0, 0, 1, 0, 0, 0]","[843.4423654040933, -81.80593429240608, 1.153077925208177, 0.1829597845088765, 0.0606858098602151, -0.0010619207684245055]",3,315.34558124556406
2,1,"[467.51084210168455, -52.85735936140974, 1.3962657841042436, 0.1472180201690868, 0.014903835526010675, -0.0022125163850580344]","[843.4423654040933, -81.80593429240608, 1.153077925208177, 0.1829597845088765, 0.0606858098602151, -0.0010619207684245055]",5,315.34558124556406
3,0,"[0, 0, 1, 0, 0, 0]","[786.7212731105069, -72.41595488591697, 1.1581035922813143, 0.18263808722735075, 0.07015412872532582, -0.0008462421496987249]",4,315.34558124556406
3,1,"[410.76508528711275, -42.194237803848566, 1.3272223170564035, 0.1639358357824234, 0.001368206476527653, 0.00046449963417074597]","[786.7212731105069, -72.41595488591697, 1.1581035922813143, 0.18263808722735075, 0.07015412872532582, -0.0008462421496987249]",5,315.34558124556406
4,0,"[0, 0, 1, 0, 0, 0]","[1612.3702797346493, -145.19439682905286, 1.163288412205734, 0.18248200023755953, 0.06498368391250733, -0.0006699151024549643]",4,315.34558124556406
4,1,"[410.76508528711275, -42.194237803848566, 1.3272223170564035, 0.1639358357824234, 0.001368206476527653, 0.00046449963417074597]","[1612.3702797346493, -145.19439682905286, 1.163288412205734, 0.18248200023755953, 0.06498368391250733, -0.0006699151024549643]",4,315.34558124556406
